"grid","beetle","fungal_unit","n_samples","beetle_n","fungus_n","shared_n","beetle_only","fungus_only","both_absent","jaccard","exp_jaccard_null","sd_jaccard_null","z_score","p_pos","p_neg","p_perm","q_perm","p_fisher","q_fisher","direction","scheme","in_block","asv_genus","asv_species","asv_lab"
"genus","Cyclorhipidion pelliculosum","Grosmannia",69,13,18,9,4,9,47,0.409090909090909,0.163147936930146,0.055415325650815,4.4381760690266,5e-04,1,0.001,0.0366666666666667,0.00033900839734151,0.00382290030084966,"co-occurring","within_trap",TRUE,NA,NA,"Grosmannia"
"genus","Cyclorhipidion pelliculosum","Sporothrix",69,13,34,11,2,23,33,0.305555555555556,0.1764319221169,0.0409051725954892,3.15665783189714,0.0035,1,0.007,0.0513333333333333,0.00569707530869645,0.0325116686502936,"co-occurring","within_trap",TRUE,NA,NA,"Sporothrix"
"genus","Cyclorhipidion pelliculosum","Raffaelea",69,13,10,5,8,5,51,0.277777777777778,0.113396375031142,0.0546639545646464,3.00712606791438,0.009,1,0.018,0.0860869565217391,0.0164571430434337,0.0670476198065817,"co-occurring","within_trap",TRUE,NA,NA,"Raffaelea"
"genus","Cyclorhipidion pelliculosum","Any Ophiostomatales",69,13,44,12,1,32,24,0.266666666666667,0.183941794461205,0.0340323782485314,2.43076965122271,0.018,0.9995,0.036,0.132,0.0233956813255396,0.0765898709525595,"co-occurring","within_trap",TRUE,NA,NA,"Any Ophiostomatales"
"genus","Cyclorhipidion pelliculosum","Ophiostomatales (unclassified genus)",69,13,7,4,9,3,53,0.25,0.103015603088784,0.0517334333213958,2.84118774793218,0.0275,0.9985,0.055,0.155128205128205,0.0202981257395885,0.0720256074630559,"co-occurring","within_trap",TRUE,NA,NA,"Ophiostomatales (unclassified genus)"
"genus","Cyclorhipidion pelliculosum","Ophiostoma",69,13,23,7,6,16,40,0.241379310344828,0.16778695781435,0.0544458668761417,1.35166095707305,0.156,0.9505,0.312,0.539846153846154,0.106526632068099,0.225344798605595,"co-occurring","within_trap",TRUE,NA,NA,"Ophiostoma"
"genus","Cyclorhipidion pelliculosum","Graphilbum",69,13,20,5,8,15,41,0.178571428571429,0.113323624158145,0.0453339382964824,1.43927059649142,0.1595,0.9715,0.319,0.539846153846154,0.500083321876829,0.647166651840603,"co-occurring","within_trap",TRUE,NA,NA,"Graphilbum"
"genus","Cyclorhipidion pelliculosum","Leptographium",69,13,20,5,8,15,41,0.178571428571429,0.106095283669077,0.0406908918059296,1.78113925956743,0.1005,0.99,0.201,0.387894736842105,0.500083321876829,0.647166651840603,"co-occurring","within_trap",TRUE,NA,NA,"Leptographium"
"genus","Cyclorhipidion pelliculosum","Hawksworthiomyces",69,13,10,3,10,7,49,0.15,0.106150198589842,0.0488377753308096,0.897866479648906,0.347,0.935,0.694,0.919759036144578,0.384511309248254,0.556529526543526,"co-occurring","within_trap",TRUE,NA,NA,"Hawksworthiomyces"
"genus","Cyclorhipidion pelliculosum","Ceratocystiopsis",69,13,21,2,11,19,37,0.0625,0.0686617247259149,0.0352027811962309,-0.175035168146732,0.7305,0.6225,1,1,0.31656412575196,0.50466744685095,"avoiding","within_trap",TRUE,NA,NA,"Ceratocystiopsis"
"genus","Dendroctonus valens","Leptographium",69,14,20,11,3,9,46,0.478260869565217,0.31833146131419,0.0671301699266584,2.38237752750746,0.0345,0.9955,0.069,0.17906976744186,2.09987702950972e-05,0.00079162920306047,"co-occurring","within_trap",TRUE,NA,NA,"Leptographium"
"genus","Dendroctonus valens","Grosmannia",69,14,18,8,6,10,45,0.333333333333333,0.171938521069234,0.0533883266574204,3.02303560288993,0.0105,0.9995,0.021,0.0924,0.00591121248187156,0.0325116686502936,"co-occurring","within_trap",TRUE,NA,NA,"Grosmannia"
"genus","Dendroctonus valens","Ophiostoma",69,14,23,9,5,14,41,0.321428571428571,0.207510330269179,0.0514302859041343,2.21500306982028,0.0385,0.9925,0.077,0.186521739130435,0.0101467354992249,0.0531495669007018,"co-occurring","within_trap",TRUE,NA,NA,"Ophiostoma"
"genus","Dendroctonus valens","Sporothrix",69,14,34,11,3,23,32,0.297297297297297,0.221423709312453,0.0389391849335365,1.94851505275082,0.073,0.994,0.146,0.297407407407407,0.0178088051732819,0.0699631631807502,"co-occurring","within_trap",TRUE,NA,NA,"Sporothrix"
"genus","Dendroctonus valens","Any Ophiostomatales",69,14,44,13,1,31,24,0.288888888888889,0.221827250760689,0.029910069232139,2.24210909067842,0.039,0.9975,0.078,0.186521739130435,0.0124238721073794,0.0547984519407621,"co-occurring","within_trap",TRUE,NA,NA,"Any Ophiostomatales"
"genus","Dendroctonus valens","Raffaelea",69,14,10,5,9,5,50,0.263157894736842,0.0845158054078301,0.047416960073157,3.76747242027737,0.0015,1,0.003,0.044,0.0237720746622119,0.0765898709525595,"co-occurring","within_trap",TRUE,NA,NA,"Raffaelea"
"genus","Dendroctonus valens","Graphilbum",69,14,20,7,7,13,42,0.259259259259259,0.188593068563348,0.0498973879715268,1.41623025911167,0.1575,0.968,0.315,0.539846153846154,0.095149580971838,0.213601100140861,"co-occurring","within_trap",TRUE,NA,NA,"Graphilbum"
"genus","Dendroctonus valens","Ophiostomatales (unclassified genus)",69,14,7,4,10,3,52,0.235294117647059,0.108364915171725,0.0568800440953481,2.23152433325406,0.0525,1,0.105,0.240625,0.0272526434324541,0.0832719660436097,"co-occurring","within_trap",TRUE,NA,NA,"Ophiostomatales (unclassified genus)"
"genus","Dendroctonus valens","Ceratocystiopsis",69,14,21,6,8,15,40,0.206896551724138,0.208759493038966,0.0509591446594463,-0.0365575467813961,0.6555,0.6645,1,1,0.331673767971503,0.513860767279794,"avoiding","within_trap",TRUE,NA,NA,"Ceratocystiopsis"
"genus","Dendroctonus valens","Hawksworthiomyces",69,14,10,3,11,7,48,0.142857142857143,0.093945504655207,0.0462270545354388,1.05807386374658,0.31,0.956,0.62,0.874358974358974,0.412361476250596,0.570476834813251,"co-occurring","within_trap",TRUE,NA,NA,"Hawksworthiomyces"
"genus","Dryocoetes autographus","Leptographium",69,14,20,5,9,15,40,0.172413793103448,0.313796155180084,0.063835283173913,-2.21479963817899,1,0.0115,0.023,0.0973076923076923,0.527626940506205,0.674871668089332,"avoiding","within_trap",FALSE,NA,NA,"Leptographium"
"genus","Dryocoetes autographus","Ophiostoma",69,14,23,5,9,18,37,0.15625,0.210999173520376,0.051635847001417,-1.06029389851732,0.943,0.261,0.522,0.775945945945946,1,1,"avoiding","within_trap",FALSE,NA,NA,"Ophiostoma"
"genus","Dryocoetes autographus","Sporothrix",69,14,34,6,8,28,27,0.142857142857143,0.229041995483814,0.0374618617887106,-2.30060249308387,0.9985,0.019,0.038,0.133333333333333,0.766011435153338,0.868672761514095,"avoiding","within_trap",FALSE,NA,NA,"Sporothrix"
"genus","Dryocoetes autographus","Any Ophiostomatales",69,14,44,7,7,37,18,0.137254901960784,0.21943529341911,0.0283878215171565,-2.89491715342296,1,0.003,0.006,0.0513333333333333,0.350327802290456,0.520757543945272,"avoiding","within_trap",FALSE,NA,NA,"Any Ophiostomatales"
"genus","Dryocoetes autographus","Graphilbum",69,14,20,4,10,16,39,0.133333333333333,0.192342312851421,0.0478847603312956,-1.23231230792068,0.9695,0.2115,0.423,0.664714285714286,1,1,"avoiding","within_trap",FALSE,NA,NA,"Graphilbum"
"genus","Dryocoetes autographus","Ceratocystiopsis",69,14,21,4,10,17,38,0.129032258064516,0.191883743597917,0.044424002926168,-1.41480914355825,0.9855,0.1535,0.307,0.539846153846154,1,1,"avoiding","within_trap",FALSE,NA,NA,"Ceratocystiopsis"
"genus","Dryocoetes autographus","Grosmannia",69,14,18,3,11,15,40,0.103448275862069,0.174382361738487,0.0505289876518052,-1.40382954760985,0.974,0.152,0.304,0.539846153846154,0.747095483759605,0.856046908474547,"avoiding","within_trap",FALSE,NA,NA,"Grosmannia"
"genus","Dryocoetes autographus","Hawksworthiomyces",69,14,10,1,13,9,46,0.0434782608695652,0.104757948233232,0.0486492936560522,-1.25962131735994,0.981,0.2205,0.441,0.681388888888889,0.674153046072605,0.806052555086811,"avoiding","within_trap",FALSE,NA,NA,"Hawksworthiomyces"
"genus","Dryocoetes autographus","Raffaelea",69,14,10,0,14,10,45,0,0.121095808982085,0.0516293422456571,-2.34548424819941,1,0.0125,0.025,0.0982142857142857,0.195130173632333,0.346198695154139,"avoiding","within_trap",FALSE,NA,NA,"Raffaelea"
"genus","Dryocoetes autographus","Ophiostomatales (unclassified genus)",69,14,7,0,14,7,48,0,0.141040018203118,0.0660809051406328,-2.13435360643076,1,0.0235,0.047,0.147714285714286,0.330406391953277,0.513860767279794,"avoiding","within_trap",FALSE,NA,NA,"Ophiostomatales (unclassified genus)"
"genus","Heteroborips seriatus","Grosmannia",69,21,18,13,8,5,43,0.5,0.274140479188286,0.0615593897990577,3.66896945452132,0.002,1,0.004,0.044,2.15898873561946e-05,0.00079162920306047,"co-occurring","within_trap",TRUE,NA,NA,"Grosmannia"
"genus","Heteroborips seriatus","Raffaelea",69,21,10,9,12,1,47,0.409090909090909,0.195454847173318,0.0591297956886821,3.61300186191042,0.0035,1,0.007,0.0513333333333333,4.25293410337153e-05,0.000935645502741736,"co-occurring","within_trap",TRUE,NA,NA,"Raffaelea"
"genus","Heteroborips seriatus","Any Ophiostomatales",69,21,44,18,3,26,22,0.382978723404255,0.283140707494591,0.0337409819813647,2.95895406852135,0.0085,0.999,0.017,0.0860869565217391,0.0146568403030815,0.0620097089745757,"co-occurring","within_trap",TRUE,NA,NA,"Any Ophiostomatales"
"genus","Heteroborips seriatus","Ophiostoma",69,21,23,12,9,11,37,0.375,0.235027370370488,0.0510018830739438,2.74446003153602,0.0125,0.9985,0.025,0.0982142857142857,0.0112071446872039,0.0535993876344535,"co-occurring","within_trap",TRUE,NA,NA,"Ophiostoma"
"genus","Heteroborips seriatus","Sporothrix",69,21,34,15,6,19,29,0.375,0.269743852126565,0.0409600592517982,2.56972645538384,0.0195,0.9985,0.039,0.133333333333333,0.0194043856952348,0.0711494142158609,"co-occurring","within_trap",TRUE,NA,NA,"Sporothrix"
"genus","Heteroborips seriatus","Leptographium",69,21,20,10,11,10,38,0.32258064516129,0.206577160363107,0.0470166406070048,2.46728569503326,0.023,0.999,0.046,0.147714285714286,0.0416853853362099,0.114634809674577,"co-occurring","within_trap",TRUE,NA,NA,"Leptographium"
"genus","Heteroborips seriatus","Ophiostomatales (unclassified genus)",69,21,7,6,15,1,47,0.272727272727273,0.153716562345224,0.0472594702622395,2.51824046527958,0.035,1,0.07,0.17906976744186,0.00252197510471358,0.0173385788449059,"co-occurring","within_trap",TRUE,NA,NA,"Ophiostomatales (unclassified genus)"
"genus","Heteroborips seriatus","Graphilbum",69,21,20,6,15,14,34,0.171428571428571,0.124375324321425,0.0335431353884922,1.40276830302778,0.176,0.979,0.352,0.561159420289855,1,1,"co-occurring","within_trap",TRUE,NA,NA,"Graphilbum"
"genus","Heteroborips seriatus","Hawksworthiomyces",69,21,10,3,18,7,41,0.107142857142857,0.135617378953185,0.0381511521813114,-0.746360730470306,0.898,0.4225,0.845,1,1,1,"avoiding","within_trap",TRUE,NA,NA,"Hawksworthiomyces"
"genus","Heteroborips seriatus","Ceratocystiopsis",69,21,21,4,17,17,31,0.105263157894737,0.11557240738407,0.0329745972023467,-0.312642165909431,0.7695,0.544,1,1,0.256686086985143,0.415227493652437,"avoiding","within_trap",TRUE,NA,NA,"Ceratocystiopsis"
"genus","Hylastes opacus","Ophiostomatales (unclassified genus)",69,8,7,4,4,3,58,0.363636363636364,0.103455698878413,0.0729276159648791,3.56765624812485,0.0075,1,0.015,0.0825,0.0024316458354707,0.0173385788449059,"co-occurring","within_trap",TRUE,NA,NA,"Ophiostomatales (unclassified genus)"
"genus","Hylastes opacus","Raffaelea",69,8,10,4,4,6,55,0.285714285714286,0.105846806725923,0.0653439511137426,2.75262630928564,0.0275,0.9995,0.055,0.155128205128205,0.0124541936229005,0.0547984519407621,"co-occurring","within_trap",TRUE,NA,NA,"Raffaelea"
"genus","Hylastes opacus","Grosmannia",69,8,18,5,3,13,48,0.238095238095238,0.100205963135907,0.0524469366207558,2.62911971306178,0.0265,0.998,0.053,0.155128205128205,0.0243695043939962,0.0765898709525595,"co-occurring","within_trap",TRUE,NA,NA,"Grosmannia"
"genus","Hylastes opacus","Leptographium",69,8,20,4,4,16,45,0.166666666666667,0.128927011054596,0.0443203497799215,0.851519805224282,0.3585,0.9265,0.717,0.927882352941176,0.216788762230434,0.372605685083559,"co-occurring","within_trap",TRUE,NA,NA,"Leptographium"
"genus","Hylastes opacus","Sporothrix",69,8,34,6,2,28,33,0.166666666666667,0.106654675620031,0.0315111653503352,1.90446752379463,0.08,0.9955,0.16,0.32,0.150551589876704,0.29217339988814,"co-occurring","within_trap",TRUE,NA,NA,"Sporothrix"
"genus","Hylastes opacus","Any Ophiostomatales",69,8,44,7,1,37,24,0.155555555555556,0.108914009198029,0.0238467436870472,1.9558874356024,0.07,0.998,0.14,0.294716981132075,0.242621630350402,0.401983305276514,"co-occurring","within_trap",TRUE,NA,NA,"Any Ophiostomatales"
"genus","Hylastes opacus","Ophiostoma",69,8,23,4,4,19,42,0.148148148148148,0.0883869383360507,0.0399204315202865,1.49700811179178,0.1645,0.9835,0.329,0.545074626865672,0.426246831090497,0.578853721234008,"co-occurring","within_trap",TRUE,NA,NA,"Ophiostoma"
"genus","Hylastes opacus","Graphilbum",69,8,20,3,5,17,44,0.12,0.0812876523731958,0.0373245733099232,1.03718125068323,0.3245,0.961,0.649,0.897875,0.68224125322882,0.806952019948067,"co-occurring","within_trap",TRUE,NA,NA,"Graphilbum"
"genus","Hylastes opacus","Ceratocystiopsis",69,8,21,2,6,19,42,0.0740740740740741,0.078565686994902,0.0299144401699108,-0.150148653804517,0.7975,0.686,1,1,1,1,"avoiding","within_trap",TRUE,NA,NA,"Ceratocystiopsis"
"genus","Hylastes opacus","Hawksworthiomyces",69,8,10,1,7,9,52,0.0588235294117647,0.0496571815319435,0.0427777876587348,0.214278212630978,0.6575,0.834,1,1,1,1,"co-occurring","within_trap",TRUE,NA,NA,"Hawksworthiomyces"
"genus","Hylesinus aculeatus","Grosmannia",69,6,18,5,1,13,50,0.263157894736842,0.116679303127446,0.049209023090509,2.97666123832576,0.0105,1,0.021,0.0924,0.00379998003294563,0.0232221002013344,"co-occurring","within_trap",TRUE,NA,NA,"Grosmannia"
"genus","Hylesinus aculeatus","Ophiostomatales (unclassified genus)",69,6,7,2,4,5,58,0.181818181818182,0.0284233025603713,0.0463038229840479,3.31279081018119,0.033,1,0.066,0.177073170731707,0.109327789294723,0.226906732498481,"co-occurring","within_trap",TRUE,NA,NA,"Ophiostomatales (unclassified genus)"
"genus","Hylesinus aculeatus","Raffaelea",69,6,10,2,4,8,55,0.142857142857143,0.060170378229407,0.0534504614854045,1.54697943347626,0.176,0.9795,0.352,0.561159420289855,0.206512012532263,0.360576529818237,"co-occurring","within_trap",TRUE,NA,NA,"Raffaelea"
"genus","Hylesinus aculeatus","Sporothrix",69,6,34,5,1,29,34,0.142857142857143,0.0834623087591697,0.0280601196192915,2.11669924803666,0.056,1,0.112,0.251428571428571,0.106000099835272,0.225344798605595,"co-occurring","within_trap",TRUE,NA,NA,"Sporothrix"
"genus","Hylesinus aculeatus","Any Ophiostomatales",69,6,44,6,0,38,25,0.136363636363636,0.0924995536294018,0.021232347708427,2.06590827055951,0.0655,1,0.131,0.282549019607843,0.0798638129439366,0.190978683126805,"co-occurring","within_trap",TRUE,NA,NA,"Any Ophiostomatales"
"genus","Hylesinus aculeatus","Graphilbum",69,6,20,3,3,17,46,0.130434782608696,0.0722397430599363,0.0356189517801643,1.63382235131263,0.166,1,0.332,0.545074626865672,0.346047938014575,0.520757543945272,"co-occurring","within_trap",TRUE,NA,NA,"Graphilbum"
"genus","Hylesinus aculeatus","Leptographium",69,6,20,3,3,17,46,0.130434782608696,0.093608358856636,0.0406658152670351,0.90558675659731,0.375,0.9455,0.75,0.95080459770115,0.346047938014575,0.520757543945272,"co-occurring","within_trap",TRUE,NA,NA,"Leptographium"
"genus","Hylesinus aculeatus","Ceratocystiopsis",69,6,21,3,3,18,45,0.125,0.0906702347829446,0.0422435951335798,0.81266201677438,0.376,0.9095,0.752,0.95080459770115,0.359177477483009,0.526793633641746,"co-occurring","within_trap",TRUE,NA,NA,"Ceratocystiopsis"
"genus","Hylesinus aculeatus","Ophiostoma",69,6,23,3,3,20,43,0.115384615384615,0.0961135899655154,0.0414117001321759,0.465352191713735,0.507,0.8485,1,1,0.392603582764909,0.560862261092727,"co-occurring","within_trap",TRUE,NA,NA,"Ophiostoma"
"genus","Hylesinus aculeatus","Hawksworthiomyces",69,6,10,1,5,9,54,0.0666666666666667,0.0353653016984687,0.0425473832416702,0.735682492866961,0.457,0.9355,0.914,1,1,1,"co-occurring","within_trap",TRUE,NA,NA,"Hawksworthiomyces"
"genus","Ips grandicollis","Leptographium",69,19,20,11,8,9,41,0.392857142857143,0.446444822027874,0.0479148529508985,-1.11839389814357,0.969,0.28,0.56,0.8,0.00230429938235522,0.0173385788449059,"avoiding","within_trap",FALSE,NA,NA,"Leptographium"
"genus","Ips grandicollis","Ophiostoma",69,19,23,10,9,13,37,0.3125,0.279549064898154,0.0327831612846665,1.00511768269457,0.3265,0.9445,0.653,0.897875,0.0477634480471936,0.125094744885507,"co-occurring","within_trap",FALSE,NA,NA,"Ophiostoma"
"genus","Ips grandicollis","Sporothrix",69,19,34,12,7,22,28,0.292682926829268,0.304113185258573,0.0269115070783801,-0.424734980319533,0.8565,0.602,1,1,0.185228684699618,0.334018939622262,"avoiding","within_trap",FALSE,NA,NA,"Sporothrix"
"genus","Ips grandicollis","Any Ophiostomatales",69,19,44,14,5,30,20,0.285714285714286,0.303515467427119,0.0208530363622922,-0.853649387243325,0.952,0.426,0.852,1,0.402684165236973,0.567887925334193,"avoiding","within_trap",FALSE,NA,NA,"Any Ophiostomatales"
"genus","Ips grandicollis","Graphilbum",69,19,20,8,11,12,38,0.258064516129032,0.246043989736803,0.0270631959890323,0.444165071896944,0.568,0.8815,1,1,0.1513989435784,0.29217339988814,"co-occurring","within_trap",FALSE,NA,NA,"Graphilbum"
"genus","Ips grandicollis","Ceratocystiopsis",69,19,21,8,11,13,37,0.25,0.277061918055804,0.0264213417448028,-1.02424465483958,1,0.43,0.86,1,0.24484437685024,0.401983305276514,"avoiding","within_trap",FALSE,NA,NA,"Ceratocystiopsis"
"genus","Ips grandicollis","Grosmannia",69,19,18,7,12,11,39,0.233333333333333,0.214139675510725,0.0333912995567243,0.574810147475772,0.498,0.885,0.996,1,0.231851967443854,0.392364867981907,"co-occurring","within_trap",FALSE,NA,NA,"Grosmannia"
"genus","Ips grandicollis","Ophiostomatales (unclassified genus)",69,19,7,4,15,3,47,0.181818181818182,0.140648314934806,0.0354917266122529,1.1599848982597,0.3555,1,0.711,0.927882352941176,0.084920865420541,0.19461031658874,"co-occurring","within_trap",FALSE,NA,NA,"Ophiostomatales (unclassified genus)"
"genus","Ips grandicollis","Hawksworthiomyces",69,19,10,3,16,7,43,0.115384615384615,0.102282622792877,0.0192294871334285,0.68134903967156,0.683,1,1,1,1,1,"co-occurring","within_trap",FALSE,NA,NA,"Hawksworthiomyces"
"genus","Ips grandicollis","Raffaelea",69,19,10,2,17,8,42,0.0740740740740741,0.0685973837549636,0.02760506015233,0.198394435255315,0.721,0.8475,1,1,0.715356626135887,0.837119456116464,"co-occurring","within_trap",FALSE,NA,NA,"Raffaelea"
"genus","Ips pini","Graphilbum",69,5,20,3,2,17,47,0.136363636363636,0.0857911545646703,0.0462395160246224,1.09370698802376,0.2735,0.9495,0.547,0.79171052631579,0.141793580698799,0.283587161397597,"co-occurring","within_trap",FALSE,NA,NA,"Graphilbum"
"genus","Ips pini","Ceratocystiopsis",69,5,21,3,2,18,46,0.130434782608696,0.100265139157195,0.0457475496890469,0.659481079458212,0.427,0.8875,0.854,1,0.160863719248267,0.300731080870057,"co-occurring","within_trap",FALSE,NA,NA,"Ceratocystiopsis"
"genus","Ips pini","Grosmannia",69,5,18,2,3,16,48,0.0952380952380952,0.0244765239762742,0.0291259610981828,2.42950167458117,0.071,1,0.142,0.294716981132075,0.599751319413876,0.741265675680072,"co-occurring","within_trap",FALSE,NA,NA,"Grosmannia"
"genus","Ips pini","Any Ophiostomatales",69,5,44,4,1,40,24,0.0888888888888889,0.0623872748005575,0.0229157423866383,1.15648071274287,0.268,0.969,0.536,0.786133333333333,0.64646568456165,0.79012472557535,"co-occurring","within_trap",FALSE,NA,NA,"Any Ophiostomatales"
